country,Year,K mineral fertilization (ktK),N mineral fertilization (ktN),P mineral fertilization (ktP),N supply (kg/cap/y),N supply (kt/y),Population (Mhab),All Animals Amount excreted in manure (ktN),All Animals Losses from manure treated (ktN),All Animals Manure applied to soils (ktN),All Animals Manure left on pasture (ktN),All Animals Manure management (treated) (ktN),non ruminants Amount excreted in manure (ktN),non ruminants Losses from manure treated (ktN),non ruminants Manure applied to soils (ktN),non ruminants Manure left on pasture (ktN),non ruminants Manure management (treated) (ktN),ruminants Amount excreted in manure (ktN),ruminants Losses from manure treated (ktN),ruminants Manure applied to soils (ktN),ruminants Manure left on pasture (ktN),ruminants Manure management (treated) (ktN),N croplands Input (ktN),N croplands Atmospheric Deposition (ktN),N croplands Biological Fixation (ktN),N croplands Manure applied to Soils (ktN),N croplands Mineral fertilizers (ktN)
World,1961,7158.304430425532,11486.06527,4754.316663521126,3.589264,10939.210510811521,3047.7586800000004,73845.65668129321,6679.207825255882,18275.000048081718,47670.29847709219,24371.22547535795,10114.922876873026,1106.1630323985232,4689.944614780023,4396.2025073592395,5723.0422925047,63730.733804420204,5573.044792857359,13585.055433301692,43274.09596973295,18648.183182853252,46580.9921304,7094.0751605000005,10556.2378814,16664.8615727,10226.2365359
World,1962,7589.910634468085,12969.651109999999,5036.183342676056,3.6535040000000003,11344.61448423552,3105.13263,74982.95351755421,6832.632627307331,18659.614519609328,48310.62029786111,24886.50721840323,10235.321049694841,1178.781622341844,4810.449453801396,4329.078455058759,5910.501203804669,64747.63246785938,5653.851004965489,13849.16506580793,43981.54184280234,18976.006014598555,48956.2327748,7238.8517883,11092.8429211,17026.533144200002,11510.832826
World,1963,8229.216898085107,14632.582480000001,5603.284785492958,3.669272,11610.8276462884,3164.3409500000002,75794.3401795521,6906.946679434442,18923.610846747477,48790.04022518227,25217.124519560995,10329.355101353553,1197.20945670783,4912.923477191423,4302.159743351856,6031.40760060597,65464.98507819855,5709.737222726611,14010.687369556059,44487.88048183041,19185.71691895502,50945.5022552,7401.5996131,11213.6820962,17288.836719900002,12918.7159201
World,1964,9029.412732765957,16388.36643,6310.383223802816,3.6967200000000005,11925.500646763203,3225.96806,76543.0558174239,6820.153377441512,18831.528484350656,49675.09045679041,25058.604474079966,10247.85791253898,1124.022445853316,4855.564590415957,4337.986649209757,5914.219980392041,66295.19790488493,5696.130931588196,13975.9638939347,45337.10380758064,19144.38449368793,52788.2862509,7543.990161899999,11637.9435585,17196.456668900002,14319.75111
World,1965,9929.09024042553,18891.3582,6843.065017323943,3.7078160000000002,12200.077299458158,3290.3675099999996,78161.46159380923,6966.392382614221,19263.219559154168,50723.889528707696,25621.76824061465,10683.108740465686,1200.9910659130849,5134.647740941316,4426.013775590679,6261.543760425693,67478.35285334353,5765.401316701136,14128.571818212853,46297.875753117005,19360.22448018896,55748.859211999996,7699.2539682999995,11681.1194429,17605.6530782,16679.8912491
World,1966,10441.135562553192,21969.42193,7538.880525352113,3.7229999999999994,12500.587800209998,3357.66527,79659.85019767417,7099.3888009843395,19809.58489174039,51487.52034656177,26283.308998757864,10903.47277394627,1204.73301088036,5275.991780893624,4503.194465643721,6404.801127164917,68756.37742372788,5894.655790103979,14533.593110846765,46984.32588091804,19878.507871592952,59070.3325582,7837.420329099999,11677.5055779,18113.617172899998,19356.681872099998
World,1967,11511.514825531915,23981.86837,7893.780025915492,3.731176,12788.940687669521,3427.58977,81376.59396958155,7251.909276071375,20309.28605899313,52564.67750886137,26922.774330273278,11282.98686384955,1261.7546020927662,5514.920622261556,4587.169338656394,6700.440474380774,70093.60710573196,5990.154673978609,14794.365436731568,47977.50817020498,20222.333855892495,61728.3302662,7995.1084726,11818.127627,18583.5417172,21243.7883004
World,1968,12023.13365361702,26196.51473,8278.173476619717,3.738768,13081.412120589119,3498.85634,82618.12312992962,7289.487478012611,20460.231238961896,53581.190202206046,27112.696969190267,11403.354912223089,1258.1714563331261,5530.513325351085,4693.275678263193,6714.772645169458,71214.76821770656,6031.316021679483,14929.717913610812,48887.91452394285,20397.924324020805,64633.1913521,8219.2682934,12140.8518476,18728.7793624,23440.9747991
World,1969,12577.58090425532,28320.37227,8660.02652971831,3.7270879999999997,13313.837113266558,3572.18212,83130.37514959341,7258.448364301845,20473.403468618322,54084.25924637016,27100.993242000357,11476.20899213619,1248.867621404087,5575.915211387667,4728.7260327469485,6752.083812834052,71654.1661574572,6009.58074289776,14897.48825723065,49355.5332136232,20348.909429166313,66774.5048427,8449.788746200002,12159.711818700001,18736.9673002,25329.7801054
World,1970,13588.312098510638,31569.70679,9188.428899859155,3.777896,13774.679201830959,3646.1245099999996,83667.2021522688,7265.149133526198,20598.28199529439,54485.677985300674,27233.312638105697,11830.445097782482,1292.817697250208,5801.588793024209,4818.1248462647645,7016.893229355976,71836.75705448631,5972.331436275991,14796.693202270188,49667.553139035925,20216.419408749724,70526.29043709999,8616.0727599,12597.428724899999,18846.0954617,28346.8852923
