Area Code,Area Code (M49),Area,Item Code,Item Code (FBS),Item,Element Code,Element,Unit,Y1961,Y1962,Y1963,Y1964,Y1965,Y1966,Y1967,Y1968,Y1969,Y1970,Y1971,Y1972,Y1973,Y1974,Y1975,Y1976,Y1977,Y1978,Y1979,Y1980,Y1981,Y1982,Y1983,Y1984,Y1985,Y1986,Y1987,Y1988,Y1989,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013
2,'004,Afghanistan,2501,'S2501,Population,511,Total Population - Both sexes,1000 No,8954,9142,9340,9547,9765,9990,10222,10466,10729,11016,11323,11644,11966,12274,12552,12807,13034,13200,13257,13180,12964,12634,12242,11854,11529,11262,11063,11013,11215,11731,12612,13812,15175,16485,17586,18415,19021,19497,19987,20595,21348,22203,23116,24019,24861,25631,26349,27032,27708,28398,29105,29825,30552
2,'004,Afghanistan,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),kcal/cap/d,2999,2917,2698,2953,2956,2737,2971,2918,2935,2534,2512,2658,2721,2713,2752,2824,2489,2621,2621,2478,2484,2480,2524,2452,2403,2397,2727,2518,2462,2314,2044,1891,1910,1820,1844,1843,1874,1903,1852,1790,1737,1826,1892,1967,1948,1966,2046,2041,2081,2104,2107,2100,2090
2,'004,Afghanistan,2901,'S2901,Grand Total,674,Protein supply quantity (g/capita/day),g/cap/d,84.91,82.98,77.12,83.49,83.86,79.17,85.25,84.1,84.84,72.82,72.7,75.75,77.38,76.99,77.79,79.73,71.13,74.66,74.1,70.67,70.97,70.58,71.42,69.49,67.07,64.87,76.41,70.43,67.9,66.22,59.66,54.72,56.83,54.84,52.96,54.25,56.82,57.78,56.12,52.57,49.67,53.35,54.54,55.24,53.51,53.46,56,56.96,57.79,58.14,58.91,58.91,58.25
2,'004,Afghanistan,2901,'S2901,Grand Total,684,Fat supply quantity (g/capita/day),g/cap/d,37.51,37.61,38.57,38.95,39.73,39.95,41.85,41.99,41.5,37.92,35.18,34.64,37.2,38.81,39.95,41.95,38.4,38.52,40.01,40.05,43.17,45.24,46.25,45.83,45.87,47.03,41.41,43.21,51.12,48.4,41.12,38.11,33.08,31.88,40.66,38.86,34.24,35.57,38.02,32.14,26.96,29.95,29.99,34.95,36.75,31.13,32.09,29.72,30.72,33.88,33.08,33.37,33.52
3,'008,Albania,2501,'S2501,Population,511,Total Population - Both sexes,1000 No,1669,1719,1771,1822,1874,1926,1979,2031,2085,2139,2195,2251,2309,2367,2427,2486,2547,2608,2671,2735,2799,2864,2930,3001,3078,3162,3252,3336,3404,3447,3460,3447,3417,3384,3358,3341,3331,3325,3318,3305,3286,3264,3239,3216,3196,3180,3166,3157,3151,3150,3154,3162,3173
3,'008,Albania,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),kcal/cap/d,2223,2242,2156,2270,2254,2254,2262,2343,2404,2415,2360,2388,2432,2494,2494,2680,2776,2689,2607,2596,2676,2664,2798,2721,2565,2690,2497,2594,2569,2568,2572,2654,2795,2877,2717,2843,2725,2725,2797,2734,2803,2864,2772,2792,2874,2855,2860,2947,2993,3076,3132,3184,3193
3,'008,Albania,2901,'S2901,Grand Total,674,Protein supply quantity (g/capita/day),g/cap/d,66.11,66.12,64.58,65.59,66.63,64.92,66.39,67.72,68.97,69.46,69.16,70.68,71.02,72.73,71.49,77.71,81.38,79.4,75.79,75.89,79.11,79.05,82.78,80.89,76.32,79.89,73.83,77.26,77.02,77.62,78.73,85.19,88.74,94.08,89.77,94.47,89.03,88.42,92.76,90.39,92.83,97.92,95.79,95.27,98.24,97.63,97.28,101.95,101.91,106.7,108.59,111.31,111.42
3,'008,Albania,2901,'S2901,Grand Total,684,Fat supply quantity (g/capita/day),g/cap/d,44.85,46.06,43.14,48.29,44.41,47.17,47.3,47.92,48.66,52.08,48.85,44.39,48.88,51.92,54.15,57.69,59.44,57.5,61.12,58.53,60.54,57.83,63.25,60.42,56.8,57.23,57.36,59.15,61.2,60.92,68.58,69.9,74.06,74.98,78.01,82.86,73.15,74.79,76.82,75.56,79.98,81.06,82.36,88.72,88.6,91.55,91.29,95.42,101.91,102.07,102.7,105.95,106.53
4,'012,Algeria,2501,'S2501,Population,511,Total Population - Both sexes,1000 No,11561,11845,12136,12443,12771,13123,13497,13887,14287,14691,15098,15512,15936,16375,16834,17311,17809,18331,18885,19475,20104,20767,21453,22150,22847,23539,24226,24905,25577,26240,26894,27535,28158,28753,29315,29845,30345,30820,31276,31719,32150,32573,33003,33461,33961,34507,35097,35725,36383,37063,37763,38482,39208
4,'012,Algeria,2901,'S2901,Grand Total,664,Food supply (kcal/capita/day),kcal/cap/d,1619,1569,1528,1540,1591,1571,1647,1706,1705,1675,1720,1849,1851,1984,2058,2047,2209,2344,2445,2566,2597,2570,2553,2500,2613,2627,2631,2696,2760,2754,2733,2865,2865,2763,2785,2784,2733,2792,2843,2812,2886,2925,2970,2987,2958,3047,3041,3048,3110,3142,3217,3272,3296
