 Element Code, Element
72538,Amount excreted in manure (N content)
72539,Losses from manure treated (N content)
72381,Manure applied to soils (N content)
723812,Manure applied to soils that leaches (N content)
723811,Manure applied to soils that volatilises (N content)
72380,Manure left on pasture (N content)
723802,Manure left on pasture that leaches (N content)
723801,Manure left on pasture that volatilises (N content)
72386,Manure management (manure treated; N content)
5111,Stocks
