Item Code,CPC Code,Item
1016,'02123,Goats
1048,'F1048,Swine
1049,'F1049,Swine; market
1051,'F1051,Swine; breeding
1052,'F1052,Chickens; layers
1053,'F1053,Chickens; broilers
1054,'F1054,Chickens
1068,'02154,Ducks
1079,'02152,Turkeys
1096,'02131,Horses
1107,'02132,Asses
1110,'02133,Mules and hinnies
1126,'02121.01,Camels
1177,'F1177,Llamas
1749,'F1749,Sheep and Goats
1755,'F1755,All Animals
1757,'F1757,Cattle
1759,'F1759,Mules and Asses
1760,'F1760,Camels and Llamas
2029,'F2029,Poultry Birds
946,'02112,Buffalo
960,'F0960,Cattle; dairy
961,'F0961,Cattle; non-dairy
976,'02122,Sheep
